Day,Date,Time,Flag
Saturday,3-Feb-12,12:57:48 AM,
Sunday,3-Mar-12,11:41:36 AM,
Monday,1-Apr-12,11:04:18 PM,[*]
Wednesday,1-May-12,11:19:06 AM,
Friday,31-May-12,12:29:12 AM,[+]
Saturday,29-Jun-12,2:33:30 PM,
Monday,29-Jul-12,5:27:48 AM,
Tuesday,27-Aug-12,8:58:30 PM,
Thursday,26-Sep-12,12:33:54 PM,[*]
Saturday,26-Oct-12,3:30:18 AM,
Sunday,24-Nov-12,5:11:54 PM,
Tuesday,24-Dec-12,5:30:00 AM,
Wednesday,22-Jan-13,4:39:48 PM,
Friday,21-Feb-13,3:03:06 AM,
Saturday,22-Mar-13,12:55:48 PM,[**]
Sunday,20-Apr-13,10:32:24 PM,
Tuesday,20-May-13,8:17:54 AM,
Wednesday,18-Jun-13,6:53:18 PM,
Friday,18-Jul-13,7:06:00 AM,
Saturday,16-Aug-13,9:26:36 PM,
Monday,15-Sep-13,1:45:30 PM,[**]
Wednesday,15-Oct-13,7:06:24 AM,
Friday,14-Nov-13,12:11:06 AM,
Saturday,13-Dec-13,4:00:00 PM,
Monday,12-Jan-14,6:08:42 AM,
Tuesday,10-Feb-14,6:34:18 PM,
Thursday,12-Mar-14,5:18:12 AM,[*]
Friday,10-Apr-14,2:27:54 PM,
Saturday,9-May-14,10:30:24 PM,
Monday,8-Jun-14,6:18:06 AM,
Tuesday,7-Jul-14,2:59:24 PM,
Thursday,6-Aug-14,1:40:18 AM,
Friday,4-Sep-14,3:00:48 PM,[*]
Sunday,4-Oct-14,6:58:30 AM,
Tuesday,3-Nov-14,12:48:18 AM,
Wednesday,2-Dec-14,7:20:12 PM,
Friday,1-Jan-15,1:20:12 PM,
Sunday,31-Jan-15,5:40:54 AM,[/]
Monday,1-Mar-15,7:32:24 PM,[/]
Wednesday,31-Mar-15,6:37:24 AM,[+]
Thursday,29-Apr-15,3:19:06 PM,
Friday,28-May-15,10:32:30 PM,
Sunday,27-Jun-15,5:27:00 AM,
Monday,26-Jul-15,1:10:42 PM,[/]
Tuesday,24-Aug-15,10:40:06 PM,[/]
Thursday,23-Sep-15,10:34:48 AM,
Saturday,23-Oct-15,1:15:12 AM,
Sunday,21-Nov-15,6:36:00 PM,
Tuesday,21-Dec-15,1:51:54 PM,
Thursday,20-Jan-16,9:28:36 AM,[*]
Saturday,19-Feb-16,3:28:12 AM,
Sunday,19-Mar-16,6:26:18 PM,
Tuesday,18-Apr-16,6:07:12 AM,
Wednesday,17-May-16,4:11:06 PM,
Thursday,15-Jun-16,11:41:18 PM,
Saturday,15-Jul-16,6:39:48 AM,[*]
Sunday,13-Aug-16,2:00:00 PM,
Monday,11-Sep-16,10:30:30 PM,
Wednesday,11-Oct-16,8:00:42 AM,
Thursday,9-Nov-16,9:17:42 PM,
Saturday,9-Dec-16,1:43:24 PM,
Monday,8-Jan-17,8:41:36 AM,[**]
Wednesday,7-Feb-17,4:28:06 AM,
Thursday,8-Mar-17,10:57:42 PM,
Saturday,7-Apr-17,2:48:30 PM,
Monday,7-May-17,4:42:54 AM,
Tuesday,5-Jun-17,3:06:24 PM,
Wednesday,4-Jul-17,11:40:12 PM,[**]
Friday,3-Aug-17,7:10:30 AM,
Saturday,1-Sep-17,2:28:12 PM,
Sunday,30-Sep-17,9:30:48 PM,[+]
Tuesday,30-Oct-17,7:18:48 AM,
Wednesday,28-Nov-17,7:41:00 PM,
Friday,28-Dec-17,10:51:18 AM,[**]
Sunday,27-Jan-18,4:13:42 AM,
Monday,25-Feb-18,10:34:18 PM,
Wednesday,27-Mar-18,4:32:24 PM,
Friday,26-Apr-18,10:05:06 AM,
Sunday,26-May-18,12:32:12 AM,
Monday,24-Jun-18,12:37:54 PM,[*]
Tuesday,23-Jul-18,10:34:24 PM,
Thursday,22-Aug-18,7:01:54 AM,
Friday,20-Sep-18,2:00:42 PM,
Saturday,19-Oct-18,10:34:24 PM,
Monday,18-Nov-18,8:32:36 AM,
Tuesday,17-Dec-18,8:17:06 PM,[/]
Thursday,16-Jan-19,9:44:00 AM,
Saturday,15-Feb-19,12:37:42 AM,
Sunday,16-Mar-19,4:40:42 PM,
Tuesday,15-Apr-19,9:24:48 AM,
Thursday,15-May-19,2:00:54 AM,[/]
Friday,13-Jun-19,5:27:54 PM,
Sunday,13-Jul-19,7:01:54 AM,
Monday,11-Aug-19,6:39:06 PM,
Wednesday,10-Sep-19,4:54:00 AM,
Thursday,9-Oct-19,2:38:18 PM,
Saturday,8-Nov-19,12:34:48 AM,[*]
Sunday,7-Dec-19,11:03:06 AM,
Monday,5-Jan-20,10:04:30 PM,
Wednesday,4-Feb-20,9:42:00 AM,
Thursday,4-Mar-20,10:12:12 PM,
Saturday,3-Apr-20,11:54:18 AM,
Monday,3-May-20,2:46:54 AM,[**]
Tuesday,1-Jun-20,6:17:48 PM,
Thursday,1-Jul-20,9:40:18 AM,
Saturday,31-Jul-20,12:19:00 AM,[+]
Sunday,29-Aug-20,2:02:24 PM,
Tuesday,28-Sep-20,2:56:18 AM,
Wednesday,27-Oct-20,3:08:36 PM,[**]
Friday,26-Nov-20,2:42:00 AM,
Saturday,25-Dec-20,1:38:12 PM,
Monday,24-Jan-21,12:07:30 AM,
Tuesday,22-Feb-21,10:31:54 AM,
Wednesday,23-Mar-21,9:18:24 PM,
Friday,22-Apr-21,8:49:00 AM,[**]
Saturday,21-May-21,9:15:00 PM,
Monday,20-Jun-21,10:40:54 AM,
Wednesday,20-Jul-21,1:07:18 AM,
Thursday,18-Aug-21,4:28:00 PM,
Saturday,17-Sep-21,8:19:36 AM,
Sunday,16-Oct-21,11:59:12 PM,[*]
Tuesday,15-Nov-21,2:38:48 PM,
Thursday,15-Dec-21,3:50:12 AM,
Friday,13-Jan-22,3:36:06 PM,
Sunday,12-Feb-22,2:17:00 AM,
Monday,13-Mar-22,12:14:00 PM,[/]
Tuesday,11-Apr-22,9:43:12 PM,[/]
Thursday,11-May-22,7:05:48 AM,
Friday,9-Jun-22,4:57:36 PM,
Sunday,9-Jul-22,4:06:54 AM,
Monday,7-Aug-22,5:18:24 PM,
Wednesday,6-Sep-22,8:46:54 AM,
Friday,6-Oct-22,1:58:00 AM,[/]
Saturday,4-Nov-22,7:36:12 PM,
Monday,4-Dec-22,12:23:18 PM,
Wednesday,3-Jan-23,3:33:12 AM,
Thursday,1-Feb-23,4:53:00 PM,
Saturday,3-Mar-23,4:23:24 AM,[*]
Sunday,1-Apr-23,2:09:36 PM,
Monday,30-Apr-23,10:30:06 PM,
Wednesday,30-May-23,6:07:00 AM,
Thursday,28-Jun-23,2:04:06 PM,
Friday,27-Jul-23,11:32:24 PM,
Sunday,26-Aug-23,11:29:12 AM,[*]
Tuesday,25-Sep-23,2:15:36 AM,
Wednesday,24-Oct-23,7:26:06 PM,
Friday,23-Nov-23,1:57:42 PM,
Sunday,23-Dec-23,8:32:54 AM,
Tuesday,22-Jan-24,1:56:36 AM,
Wednesday,20-Feb-24,5:07:00 PM,[**]
Friday,21-Mar-24,5:29:54 AM,
Saturday,19-Apr-24,3:10:30 PM,
Sunday,18-May-24,10:52:18 PM,
Tuesday,17-Jun-24,5:41:18 AM,
Wednesday,16-Jul-24,12:48:48 PM,
Thursday,14-Aug-24,9:18:54 PM,[**]
Saturday,13-Sep-24,7:59:42 AM,
Sunday,12-Oct-24,9:21:06 PM,
Tuesday,11-Nov-24,1:30:30 PM,
Thursday,11-Dec-24,8:03:18 AM,
Saturday,10-Jan-25,3:47:12 AM,
Sunday,8-Feb-25,10:48:54 PM,[*]
Tuesday,10-Mar-25,3:20:42 PM,
Thursday,9-Apr-25,4:32:36 AM,
Friday,8-May-25,2:42:30 PM,
Saturday,6-Jun-25,10:47:36 PM,
Monday,6-Jul-25,5:53:36 AM,
Tuesday,4-Aug-25,12:58:48 PM,[*]
Wednesday,2-Sep-25,8:52:48 PM,
Friday,2-Oct-25,6:22:42 AM,
Saturday,31-Oct-25,6:16:30 PM,
Monday,30-Nov-25,9:10:48 AM,
Wednesday,30-Dec-25,3:01:18 AM,
Thursday,28-Jan-26,10:35:12 PM,[/]
Saturday,27-Feb-26,5:50:36 PM,
Monday,29-Mar-26,11:00:06 AM,
Wednesday,28-Apr-26,1:16:30 AM,
Thursday,27-May-26,12:48:30 PM,
Friday,25-Jun-26,10:12:36 PM,[/]
Sunday,25-Jul-26,6:13:12 AM,[/]
Monday,23-Aug-26,1:37:36 PM,
Tuesday,21-Sep-26,9:18:54 PM,
Thursday,21-Oct-26,6:15:00 AM,
Friday,19-Nov-26,5:20:54 PM,
Sunday,19-Dec-26,7:08:36 AM,[/]
Monday,17-Jan-27,11:26:42 PM,
Wednesday,16-Feb-27,5:17:54 PM,
Friday,18-Mar-27,11:24:00 AM,
Sunday,17-Apr-27,4:35:12 AM,
Monday,16-May-27,8:02:36 PM,
Wednesday,15-Jun-27,9:19:12 AM,[**]
Thursday,14-Jul-27,8:22:18 PM,
Saturday,13-Aug-27,5:37:06 AM,
Sunday,11-Sep-27,1:53:42 PM,
Monday,10-Oct-27,10:14:30 PM,
Wednesday,9-Nov-27,7:36:00 AM,
Thursday,8-Dec-27,6:31:48 PM,[**]
Saturday,7-Jan-28,7:07:36 AM,
Sunday,5-Feb-28,9:10:48 PM,
Tuesday,6-Mar-28,12:26:48 PM,
Thursday,5-Apr-28,4:38:12 AM,
Friday,4-May-28,9:11:42 PM,
Sunday,3-Jun-28,1:13:18 PM,[**]
Tuesday,3-Jul-28,3:48:24 AM,
Wednesday,1-Aug-28,4:30:24 PM,
Friday,31-Aug-28,3:33:54 AM,
Saturday,29-Sep-28,1:42:24 PM,
Sunday,28-Oct-28,11:43:12 PM,
Tuesday,27-Nov-28,10:05:24 AM,[**]
Wednesday,26-Dec-28,8:54:36 PM,
Friday,25-Jan-29,8:09:00 AM,
Saturday,23-Feb-29,7:58:30 PM,
Monday,25-Mar-29,8:46:06 AM,
Tuesday,23-Apr-29,10:47:18 PM,
Thursday,23-May-29,1:49:42 PM,[/]
Saturday,22-Jun-29,5:14:54 AM,
Sunday,21-Jul-29,8:20:36 PM,
Tuesday,20-Aug-29,10:42:12 AM,
Thursday,19-Sep-29,12:15:42 AM,
Friday,18-Oct-29,1:05:48 PM,
Sunday,17-Nov-29,1:14:06 AM,[/]
Monday,16-Dec-29,12:38:06 PM,
Tuesday,14-Jan-30,11:20:54 PM,
Thursday,13-Feb-30,9:38:30 AM,
Friday,14-Mar-30,7:58:12 PM,
Sunday,13-Apr-30,6:48:24 AM,[*]
Monday,12-May-30,6:29:12 PM,
Wednesday,11-Jun-30,7:11:36 AM,
Thursday,10-Jul-30,9:01:00 PM,
Saturday,9-Aug-30,11:57:30 AM,
Monday,8-Sep-30,3:47:42 AM,
Tuesday,7-Oct-30,7:55:30 PM,[*]
Thursday,6-Nov-30,11:28:06 AM,
Saturday,6-Dec-30,1:39:48 AM,
Sunday,4-Jan-31,2:14:48 PM,
Tuesday,3-Feb-31,1:25:48 AM,
Wednesday,4-Mar-31,11:35:54 AM,
Thursday,2-Apr-31,9:05:24 PM,[**]
Saturday,2-May-31,6:14:18 AM,
Sunday,31-May-31,3:32:54 PM,[+]
Tuesday,30-Jun-31,1:46:48 AM,
Wednesday,29-Jul-31,1:47:24 PM,
Friday,28-Aug-31,4:09:24 AM,
Saturday,26-Sep-31,8:44:48 PM,[**]
Monday,26-Oct-31,2:33:54 PM,
Wednesday,25-Nov-31,8:09:48 AM,
Friday,25-Dec-31,12:23:24 AM,
Saturday,23-Jan-32,2:44:06 PM,
Monday,22-Feb-32,3:07:18 AM,
Tuesday,22-Mar-32,1:37:18 PM,[*]
Wednesday,20-Apr-32,10:27:00 PM,
Friday,20-May-32,6:08:36 AM,
Saturday,18-Jun-32,1:38:00 PM,
Sunday,17-Jul-32,10:06:12 PM,
Tuesday,16-Aug-32,8:41:24 AM,
Wednesday,14-Sep-32,10:06:00 PM,[*]
Friday,14-Oct-32,2:17:36 PM,
Sunday,13-Nov-32,8:28:00 AM,
Tuesday,13-Dec-32,3:20:54 AM,
Wednesday,11-Jan-33,9:35:36 PM,
Friday,10-Feb-33,2:00:24 PM,[/]
Sunday,12-Mar-33,3:45:36 AM,[/]
Monday,10-Apr-33,2:37:36 PM,
Tuesday,9-May-33,11:04:18 PM,
Thursday,8-Jun-33,6:04:36 AM,
Friday,7-Jul-33,12:50:30 PM,
Saturday,5-Aug-33,8:31:30 PM,[/]
Monday,4-Sep-33,6:04:18 AM,[/]
Tuesday,3-Oct-33,6:07:36 PM,
Thursday,2-Nov-33,8:59:12 AM,
Saturday,2-Dec-33,2:30:54 AM,
Sunday,31-Dec-33,9:53:54 PM,[+]
Tuesday,30-Jan-34,5:31:24 PM,[*]
Thursday,1-Mar-34,11:25:36 AM,
Saturday,31-Mar-34,2:14:30 AM,
Sunday,29-Apr-34,1:45:24 PM,
Monday,28-May-34,10:41:18 PM,
Wednesday,27-Jun-34,6:07:48 AM,
Thursday,26-Jul-34,1:08:30 PM,[*]
Friday,24-Aug-34,8:36:42 PM,
Sunday,23-Sep-34,5:18:48 AM,
Monday,22-Oct-34,4:01:00 PM,
Wednesday,21-Nov-34,5:26:12 AM,
Thursday,20-Dec-34,9:53:12 PM,
Saturday,19-Jan-35,4:44:12 PM,[**]
Monday,18-Feb-35,12:17:06 PM,
Wednesday,20-Mar-35,6:31:18 AM,
Thursday,18-Apr-35,10:09:36 PM,
Saturday,18-May-35,10:57:00 AM,
Sunday,16-Jun-35,9:20:00 PM,
Tuesday,16-Jul-35,6:00:24 AM,[**]
Wednesday,14-Aug-35,1:43:30 PM,
Thursday,12-Sep-35,9:18:12 PM,
Saturday,12-Oct-35,5:39:00 AM,
Sunday,10-Nov-35,3:41:42 PM,
Tuesday,10-Dec-35,4:10:12 AM,
Wednesday,8-Jan-36,7:14:36 PM,[**]
Friday,7-Feb-36,12:18:48 PM,
Sunday,8-Mar-36,6:13:30 AM,
Monday,6-Apr-36,11:46:18 PM,
Wednesday,6-May-36,4:01:06 PM,
Friday,5-Jun-36,6:22:18 AM,
Saturday,4-Jul-36,6:34:24 PM,[*]
Monday,3-Aug-36,4:47:12 AM,
Tuesday,1-Sep-36,1:37:18 PM,
Wednesday,30-Sep-36,10:00:48 PM,[+]
Friday,30-Oct-36,6:57:30 AM,
Saturday,28-Nov-36,5:11:48 PM,
Monday,28-Dec-36,5:00:06 AM,[/]
Tuesday,26-Jan-37,6:15:18 PM,
Thursday,25-Feb-37,8:43:12 AM,
Saturday,27-Mar-37,12:12:12 AM,
Sunday,25-Apr-37,4:23:30 PM,
Tuesday,25-May-37,8:37:36 AM,[/]
Wednesday,23-Jun-37,11:59:30 PM,
Friday,23-Jul-37,1:45:30 PM,
Sunday,22-Aug-37,1:47:00 AM,
Monday,20-Sep-37,12:32:24 PM,
Tuesday,19-Oct-37,10:47:24 PM,
Thursday,18-Nov-37,9:09:30 AM,[*]
Friday,17-Dec-37,7:52:24 PM,
Sunday,16-Jan-38,6:53:18 AM,
Monday,14-Feb-38,6:14:24 PM,
Wednesday,16-Mar-38,6:15:06 AM,
Thursday,14-Apr-38,7:20:48 PM,
Saturday,14-May-38,9:38:54 AM,[**]
Monday,13-Jun-38,12:47:00 AM,
Tuesday,12-Jul-38,4:04:30 PM,
Thursday,11-Aug-38,6:56:48 AM,
Friday,9-Sep-38,9:08:06 PM,
Sunday,9-Oct-38,10:37:00 AM,
Monday,7-Nov-38,11:23:24 PM,[**]
Wednesday,7-Dec-38,11:22:06 AM,
Thursday,5-Jan-39,10:29:42 PM,
Saturday,4-Feb-39,8:54:36 AM,
Sunday,5-Mar-39,7:00:24 PM,
Tuesday,4-Apr-39,5:18:00 AM,
Wednesday,3-May-39,4:15:18 PM,[**]
Friday,2-Jun-39,4:10:54 AM,
Saturday,1-Jul-39,5:16:00 PM,
Monday,31-Jul-39,7:36:30 AM,[+]
Tuesday,29-Aug-39,11:08:36 PM,
Thursday,28-Sep-39,3:27:00 PM,
Saturday,28-Oct-39,7:41:36 AM,[*]
Sunday,26-Nov-39,10:54:18 PM,
Tuesday,26-Dec-39,12:28:24 PM,
Thursday,25-Jan-40,12:21:54 AM,
Friday,23-Feb-40,10:55:24 AM,
Saturday,23-Mar-40,8:33:12 PM,[/]
Monday,22-Apr-40,6:36:54 AM,[/]
Tuesday,21-May-40,3:32:54 PM,
Thursday,20-Jun-40,1:01:36 AM,
Friday,19-Jul-40,11:55:18 AM,
Sunday,18-Aug-40,1:02:24 AM,
Monday,16-Sep-40,4:40:42 PM,
Wednesday,16-Oct-40,10:14:54 AM,[/]
Friday,15-Nov-40,4:23:12 AM,
Saturday,14-Dec-40,9:37:36 PM,
Monday,13-Jan-41,1:04:00 PM,
Wednesday,12-Feb-41,2:26:24 AM,
Thursday,13-Mar-41,1:46:42 PM,[*]
Friday,11-Apr-41,11:15:00 PM,
Sunday,11-May-41,7:15:18 AM,
Monday,9-Jun-41,2:34:00 PM,
Tuesday,8-Jul-41,10:17:18 PM,
Thursday,7-Aug-41,7:38:18 AM,
Friday,5-Sep-41,7:35:54 PM,[*]
Sunday,5-Oct-41,10:32:12 AM,
Tuesday,4-Nov-41,3:59:42 AM,
Wednesday,3-Dec-41,10:50:54 PM,
Friday,2-Jan-42,5:41:42 PM,
Sunday,1-Feb-42,11:12:18 AM,
Tuesday,3-Mar-42,2:19:48 AM,[**]
Wednesday,1-Apr-42,2:32:12 PM,
Thursday,30-Apr-42,11:59:30 PM,[+]
Saturday,30-May-42,7:28:54 AM,
Sunday,28-Jun-42,2:09:18 PM,
Monday,27-Jul-42,9:13:36 PM,
Wednesday,26-Aug-42,5:46:06 AM,[**]
Thursday,24-Sep-42,4:34:06 PM,
Saturday,24-Oct-42,6:05:18 AM,
Sunday,22-Nov-42,9:24:12 PM,
Tuesday,22-Dec-42,4:03:06 PM,
Thursday,21-Jan-43,11:47:48 AM,
Saturday,20-Feb-43,6:44:42 AM,[*]
Sunday,21-Mar-43,11:08:00 PM,
Tuesday,20-Apr-43,1:10:30 PM,
Wednesday,19-May-43,11:12:48 PM,
Friday,18-Jun-43,7:14:00 AM,
Saturday,17-Jul-43,2:21:30 PM,
Sunday,15-Aug-43,9:33:54 PM,[*]
Tuesday,14-Sep-43,5:39:36 AM,
Wednesday,13-Oct-43,2:22:36 PM,
Friday,12-Nov-43,2:26:36 AM,
Saturday,11-Dec-43,5:24:24 PM,
Monday,10-Jan-44,11:09:18 AM,
Wednesday,9-Feb-44,6:29:30 AM,[/]
Friday,10-Mar-44,1:27:36 AM,
Saturday,8-Apr-44,7:21:36 PM,
Monday,8-May-44,9:28:06 AM,
Tuesday,6-Jun-44,8:57:36 PM,
Thursday,6-Jul-44,6:26:42 AM,[/]
Friday,4-Aug-44,2:39:12 PM,[/]
Saturday,2-Sep-44,10:20:54 PM,
Monday,2-Oct-44,5:21:42 AM,
Tuesday,31-Oct-44,2:35:24 PM,[+]
Thursday,30-Nov-44,1:51:42 AM,
Friday,29-Dec-44,3:38:06 PM,[/]
Sunday,28-Jan-45,7:41:06 AM,
Tuesday,27-Feb-45,1:06:42 AM,
Wednesday,28-Mar-45,6:44:24 PM,
Friday,27-Apr-45,12:32:42 PM,
Sunday,27-May-45,4:48:48 AM,
Monday,25-Jun-45,6:07:54 PM,[*]
Wednesday,25-Jul-45,5:25:30 AM,
Thursday,23-Aug-45,3:02:54 PM,
Friday,21-Sep-45,11:45:36 PM,
Sunday,21-Oct-45,7:31:42 AM,
Monday,19-Nov-45,4:12:48 PM,
Wednesday,19-Dec-45,3:17:24 AM,[**]
Thursday,17-Jan-46,3:46:30 PM,
Saturday,16-Feb-46,5:27:48 AM,
Sunday,17-Mar-46,8:11:00 PM,
Tuesday,16-Apr-46,12:47:00 PM,
Thursday,16-May-46,4:52:30 AM,
Friday,14-Jun-46,8:41:36 PM,[**]
Sunday,14-Jul-46,11:22:36 AM,
Tuesday,13-Aug-46,12:25:48 AM,
Wednesday,11-Sep-46,11:59:24 AM,
Thursday,10-Oct-46,9:40:24 PM,
Saturday,9-Nov-46,8:10:12 AM,
Sunday,8-Dec-46,6:52:00 PM,[**]
Tuesday,7-Jan-47,5:46:42 AM,
Wednesday,5-Feb-47,4:50:24 PM,
Friday,7-Mar-47,4:15:06 AM,
Saturday,5-Apr-47,4:28:18 PM,
Monday,5-May-47,6:53:12 AM,
Tuesday,3-Jun-47,10:26:42 PM,[*]
Thursday,3-Jul-47,12:38:30 PM,
Saturday,2-Aug-47,3:49:54 AM,
Sunday,31-Aug-47,6:34:00 PM,[+]
Tuesday,30-Sep-47,8:40:48 AM,
Wednesday,29-Oct-47,9:06:48 PM,
Friday,28-Nov-47,9:45:12 AM,[/]
Saturday,27-Dec-47,9:26:54 PM,
Monday,26-Jan-48,8:11:24 AM,
